,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,전형유형,지역,대학명,계열,충족여부,전형명,모집단위명,모집예정인원,선발유형,전형방법,최저학력기준 내용
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,심리학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,유아교육학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,응용통계학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,의료산업경영학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,패션산업학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),인문,#REF!,학생부우수자전형,회계세무학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,인천,가천대(메디컬),자연,#REF!,학생부우수자전형,간호학과,28,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,건설환경공학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,건축공학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,건축학부,9,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,금융빅데이터학부,12,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,기계공학부,18,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,도시계획조경학부,10,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,인천,가천대(메디컬),자연,#REF!,학생부우수자전형,물리치료학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,바이오나노학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,인천,가천대(메디컬),자연,#REF!,학생부우수자전형,바이오로직스학과,12,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 5이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,반도체대학,21,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,반도체물리학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,인천,가천대(메디컬),자연,#REF!,학생부우수자전형,방사선학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,생명과학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,스마트보안학과,8,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,스마트시티학과,8,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,스마트팩토리학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,시스템반도체학과,8,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,식품생명공학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,식품영양학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,신소재공학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,인천,가천대(메디컬),자연,#REF!,학생부우수자전형,약학과,3,일괄합산,학생부(정량)100,국수(미/기)영과(2) 중 3개 영역 합 5이내 (탐구 소수점 절사)
,학생부교과,인천,가천대(메디컬),자연,#REF!,학생부우수자전형,운동재활학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,의공학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,인천,가천대(메디컬),자연,#REF!,학생부우수자전형,의예과,4,일괄합산,학생부(정량)100,국수(미/기)영과(2) 중 3개 영역 1등급 (탐구 소수점 절사)
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,인공지능학과,20,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,전기공학과,8,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,인천,가천대(메디컬),자연,#REF!,학생부우수자전형,치위생학과,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,컴퓨터공학과,16,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,클라우드공학과,7,일괄합산,학생부(정량)100,국수(미/기)영과(2) 중 2개 영역 합 4이내 (탐구 소수점 절사)
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,한의예과,7,일괄합산,학생부(정량)100,국수(미/기)영과(2) 중 2개 영역 각 1등급
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,화공생명배터리공학부,25,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,경기,가천대(글로벌),자연,#REF!,학생부우수자전형,화학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,강원,가톨릭관동대,공통,최저미반영,기회균형전형,자율전공학부,15,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,기회균형전형,경찰학부,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,기회균형전형,국어교육과,1,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,기회균형전형,사회복지학전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,기회균형전형,역사교육과,1,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,기회균형전형,지리교육과,1,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,#REF!,기회균형전형,간호학과,3,일괄합산,학생부(정량)100,국수영탐(2) 중 2개 영역 합 9이내 (탐구 소수점 절사)
,학생부교과,강원,가톨릭관동대,자연,#REF!,기회균형전형,의학과(의예과),1,일괄합산,학생부(정량)100,국수(미/기)영과(2) 중 3개 영역 합 6이내 (탐구 소수점 절사)
,학생부교과,강원,가톨릭관동대,자연,최저미반영,기회균형전형,임상병리학과,2,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,기회균형전형,치위생학과,2,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,기회균형전형,컴퓨터교육과,1,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,공통,최저미반영,일반전형,자율전공학부,156,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,경영학전공,31,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,경찰학부,93,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,광고홍보학전공,26,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,국어교육과,20,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,미디어콘텐츠전공,26,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,사회복지학전공,26,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,역사교육과,15,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,영어교육과,26,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,의료경영학전공,21,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,조리외식경영학전공,31,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,지리교육과,15,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,항공교통물류전공,26,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,행정학전공,24,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,일반전형,호텔관광경영학전공,26,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,#REF!,일반전형,간호학과,36,일괄합산,학생부(정량)100,국수영탐(2) 중 2개 영역 합 9이내 (탐구 소수점 절사)
,학생부교과,강원,가톨릭관동대,자연,최저미반영,일반전형,건축공학전공,16,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,일반전형,건축학전공,26,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,일반전형,디지털헬스케어전공,16,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,일반전형,수학교육과,26,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,일반전형,의생명과학전공,26,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,#REF!,일반전형,의학과(의예과),20,일괄합산,학생부(정량)100,국수(미/기)영과(2) 중 3개 영역 합 5이내 (탐구 소수점 절사)
,학생부교과,강원,가톨릭관동대,자연,최저미반영,일반전형,임상병리학과,15,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,일반전형,치위생학과,20,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,일반전형,컴퓨터교육과,20,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,일반전형,항공운항전공,26,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,일반전형,항공정비학전공,31,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,#REF!,지역기회균형전형,간호학과,3,일괄합산,학생부(정량)100,국수영탐(2) 중 2개 영역 합 10이내 (탐구 소수점 절사)
,학생부교과,강원,가톨릭관동대,자연,#REF!,지역기회균형전형,의학과(의예과),3,일괄합산,학생부(정량)100,국수(미/기)영과(2) 중 3개 영역 합 7이내 (탐구 소수점 절사)
,학생부교과,강원,가톨릭관동대,공통,최저미반영,지역인재전형,자율전공학부,50,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,경영학전공,10,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,경찰학부,30,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,광고홍보학전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,국어교육과,4,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,미디어콘텐츠전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,사회복지학전공,10,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,역사교육과,7,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,영어교육과,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,의료경영학전공,10,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,조리외식경영학전공,10,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,지리교육과,7,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,항공교통물류전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,행정학전공,7,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,인문,최저미반영,지역인재전형,호텔관광경영학전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,#REF!,지역인재전형,간호학과,25,일괄합산,학생부(정량)100,국수영탐(2) 중 2개 영역 합 9이내 (탐구 소수점 절사)
,학생부교과,강원,가톨릭관동대,자연,최저미반영,지역인재전형,건축공학전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,지역인재전형,건축학전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,지역인재전형,디지털헬스케어전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,지역인재전형,수학교육과,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,지역인재전형,의생명과학전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,#REF!,지역인재전형,의학과(의예과),25,일괄합산,학생부(정량)100,국수(미/기)영과(2) 중 3개 영역 합 6이내 (탐구 소수점 절사)
,학생부교과,강원,가톨릭관동대,자연,최저미반영,지역인재전형,임상병리학과,10,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,지역인재전형,치위생학과,10,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,지역인재전형,컴퓨터교육과,4,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,지역인재전형,항공운항전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,강원,가톨릭관동대,자연,최저미반영,지역인재전형,항공정비학전공,5,일괄합산,학생부(정량)100,미반영
,학생부교과,충북,가톨릭꽃동네대,공통,최저미반영,가톨릭지도자추천전형,자율전공학부,3,일괄합산,학생부(정량)60+면접40,미반영
,학생부교과,충북,가톨릭꽃동네대,자연,최저미반영,가톨릭지도자추천전형,간호학과,13,일괄합산,학생부(정량)60+면접40,미반영
,학생부교과,충북,가톨릭꽃동네대,공통,최저미반영,만학도및자립지원전형,자율전공학부,10,일괄합산,학생부(정량)100,미반영
,학생부교과,충북,가톨릭꽃동네대,공통,최저미반영,일반학생전형,자율전공학부,18,일괄합산,학생부(정량)100,미반영
,학생부교과,충북,가톨릭꽃동네대,자연,최저미반영,일반학생전형,간호학과,15,일괄합산,학생부(정량)100,미반영
,학생부교과,충북,가톨릭꽃동네대,자연,최저미반영,지역인재(경제배려대상자)전형,간호학과,2,일괄합산,학생부(정량)60+면접40,미반영
,학생부교과,충북,가톨릭꽃동네대,자연,최저미반영,지역인재(일반)전형,간호학과,18,일괄합산,학생부(정량)60+면접40,미반영
,학생부교과,충북,가톨릭꽃동네대,자연,최저미반영,특성화고교전형,간호학과,5,일괄합산,학생부(정량)100,미반영
,학생부교과,충북,가톨릭꽃동네대,자연,최저미반영,휴먼리더면접전형,간호학과,10,일괄합산,학생부(정량)60+면접40,미반영
,학생부교과,서울,가톨릭대,공통,#REF!,지역균형전형,자유전공학부,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,경영학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,경제학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,국사학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,국어국문학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,국제학부,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,법학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,사회복지학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,사회학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,심리학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,영어영문학부,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,인문사회계열,15,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,일어일본문화학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,중국언어문화학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,철학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,특수교육과,10,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,프랑스어문화학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,행정학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,인문,#REF!,지역균형전형,회계학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,AI의공학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,간호학과,14,일괄합산,학생부(정량)100,국수영탐(1) 중 3개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,공간디자인소비자학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,데이터사이언스학과,8,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,물리학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,미디어기술콘텐츠학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,바이오로직스공학부,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,바이오메디컬소프트웨어학과,7,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,바이오메디컬화학공학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,생명공학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,수학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,식품영양학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,아동학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,약학과,4,일괄합산,학생부(정량)100,국수영과(1) 중 3개 영역 합 5이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,에너지환경공학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,의류학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,의생명과학과,8,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,의예과,10,일괄합산,학생부(정량)100,"국수영과(2) 영역 합 5이내, 한국사 4이내
(과탐 동일과목 Ⅰ,Ⅱ 불가, 탐구 소수점 절사)"
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,인공지능학과,9,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,자연공학계열,10,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 6이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,정보통신전자공학부,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,컴퓨터정보공학부,6,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,가톨릭대,자연,#REF!,지역균형전형,화학과,5,일괄합산,학생부(정량)100,국수영탐(1) 중 2개 영역 합 7이내
,학생부교과,서울,감리교신대,인문,최저미반영,검정고시출신자전형,신학부,15,일괄합산,면접20+서류(기타)80,미반영
,학생부교과,서울,감리교신대,인문,최저미반영,사회적배려대상자전형,신학부,10,일괄합산,학생부(정량)80+면접20,미반영
,학생부교과,서울,감리교신대,인문,최저미반영,일반전형,신학부,87,일괄합산,학생부(정량)80+면접20,미반영
