지역구분,대학설립형태,대학명,전형세부유형,중심전형분류,계열,상세계열,모집단위명,소재지,모집인원,"전영역
응시
여부","필수
응시
과목","탐구
반영
방법",최저학력기준 내용
경기,사립,가천대,논술전형,논술,인문,법•정치•행정,법과대학,,45,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,복지•아동•가족,사회복지학과,,12,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,사회•언론•매체,심리학과,,10,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,유아•특수교육,유아교육학과,,15,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,수학•통계,응용통계학과,,13,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,경영•경제•무역,의료산업경영학과,,13,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,디자인•의류•뷰티,패션산업학과,,12,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,인문,금융•회계•세무,회계세무학과,,16,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,간호,간호학과,인천,77,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,건설•토목•안전,건축학부,,28,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,금융•회계•세무,금융빅데이터학부,,26,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,기계•자동차•철도•항공•조선,기계공학부,,61,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,건설•토목•안전,도시계획조경학부,,21,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,생명공•의과학•보건,물리치료학과,인천,8,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,신소재•화공•에너지,바이오나노학과,,14,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,생명공•의과학•보건,바이오로직스학과,인천,28,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 5이내"
경기,사립,가천대,논술전형,논술,자연,전기•전자•컴퓨터•통신,반도체대학,,73,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,물리•화학•생명•천문,반도체물리학과,,13,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,생명공•의과학•보건,방사선학과,인천,8,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,물리•화학•생명•천문,생명과학과,,15,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,전기•전자•컴퓨터•통신,스마트보안학과,,18,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,전기•전자•컴퓨터•통신,스마트시티학과,,16,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,전기•전자•컴퓨터•통신,스마트팩토리전공,,16,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,전기•전자•컴퓨터•통신,시스템반도체학과,,16,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,생명공•의과학•보건,식품생명공학과,,14,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,생활과학,식품영양학과,,12,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,신소재•화공•에너지,신소재공학과,,14,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,생명공•의과학•보건,운동재활학과,인천,13,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,생명공•의과학•보건,응급구조학과,인천,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,생명공•의과학•보건,의공학과,,14,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,의예,의예과,,40,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 1등급 (탐구 소수점 절사)"
경기,사립,가천대,논술전형,논술,자연,전기•전자•컴퓨터•통신,인공지능학과,,45,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,전기•전자•컴퓨터•통신,전기공학과,,20,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,생명공•의과학•보건,치위생학과,인천,9,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,전기•전자•컴퓨터•통신,컴퓨터공학과,,45,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,전기•전자•컴퓨터•통신,클라우드공학과,,7,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 2개 영역 합 4이내 (탐구 소수점 절사)"
경기,사립,가천대,논술전형,논술,자연,건설•토목•안전,토목환경공학과,,14,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,신소재•화공•에너지,화공생명배터리공학부,,57,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,논술전형,논술,자연,물리•화학•생명•천문,화학과,,14,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 1개 영역 3이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,기타인문계,AI인문대학,,22,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,경영•경제•무역,경영학과,,15,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,경영•경제•무역,경제학과,,8,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,관광•서비스,관광경영학과,,7,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,사회•언론•매체,미디어커뮤니케이션학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,법•정치•행정,법과대학,,17,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,복지•아동•가족,사회복지학과,,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,사회•언론•매체,심리학과,,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,유아•특수교육,유아교육학과,,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,수학•통계,응용통계학과,,7,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,경영•경제•무역,의료산업경영학과,,7,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,디자인•의류•뷰티,패션산업학과,,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,인문,금융•회계•세무,회계세무학과,,7,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,간호,간호학과,인천,28,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,건설•토목•안전,건축학부,,12,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,금융•회계•세무,금융빅데이터학부,,12,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,기계•자동차•철도•항공•조선,기계공학부,,20,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,건설•토목•안전,도시계획조경학부,,10,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,생명공•의과학•보건,물리치료학과,인천,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,신소재•화공•에너지,바이오나노학과,,7,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,생명공•의과학•보건,바이오로직스학과,인천,12,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 5이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,전기•전자•컴퓨터•통신,반도체대학,,21,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,물리•화학•생명•천문,반도체물리학과,,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,생명공•의과학•보건,방사선학과,인천,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,물리•화학•생명•천문,생명과학과,,7,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,전기•전자•컴퓨터•통신,스마트보안학과,,8,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,전기•전자•컴퓨터•통신,스마트시티학과,,8,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,전기•전자•컴퓨터•통신,스마트팩토리전공,,9,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,전기•전자•컴퓨터•통신,시스템반도체학과,,9,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,생명공•의과학•보건,식품생명공학과,,7,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,생활과학,식품영양학과,,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,신소재•화공•에너지,신소재공학과,,7,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,약학,약학과,인천,3,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 5이내 (탐구 소수점 절사)"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,생명공•의과학•보건,운동재활학과,인천,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,생명공•의과학•보건,의공학과,,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,의예,의예과,인천,15,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 1등급 (탐구 소수점 절사)"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,전기•전자•컴퓨터•통신,인공지능학과,,21,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,전기•전자•컴퓨터•통신,전기공학과,,8,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,생명공•의과학•보건,치위생학과,인천,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,전기•전자•컴퓨터•통신,컴퓨터공학과,,21,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,전기•전자•컴퓨터•통신,클라우드공학과,,7,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 2개 영역 합 4이내 (탐구 소수점 절사)"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,건설•토목•안전,토목환경공학과,,7,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,한의예,한의예과,,7,,,2과목개별반영,"국, 수(미적/기하), 영, 탐(과)(2과목 모두 1등급) 중 2개 영역 각 1등급"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,신소재•화공•에너지,화공생명배터리공학부,,25,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
경기,사립,가천대,학생부우수자전형,학생부교과,자연,물리•화학•생명•천문,화학과,,7,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 6이내"
강원,사립,가톨릭관동대,가톨릭지도자추천전형,학생부종합,자연,간호,간호학과,,5,,,2과목평균,"국, 수, 영, 탐(사/과)(2과목평균) 중 3개 영역 합 13이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,가톨릭지도자추천전형,학생부종합,자연,의예,의학과(의예과),,5,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 5이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,기회균형전형,학생부교과,자연,간호,간호학과,,3,,,2과목평균,"국, 수, 영, 탐(사/과)(2과목평균) 중 2개 영역 합 9이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,기회균형전형,학생부교과,자연,의예,의학과(의예과),,1,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 6이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,일반전형,학생부교과,자연,간호,간호학과,,35,,,2과목평균,"국, 수, 영, 탐(사/과)(2과목평균) 중 2개 영역 합 9이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,일반전형,학생부교과,자연,의예,의학과(의예과),,20,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 5이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,일반전형,학생부종합,자연,간호,간호학과,,10,,,2과목평균,"국, 수, 영, 탐(사/과)(2과목평균) 중 3개 영역 합 13이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,일반전형,학생부종합,자연,의예,의학과(의예과),,5,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 5이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,지역기회균형전형,학생부교과,자연,간호,간호학과,,3,,,2과목평균,"국, 수, 영, 탐(사/과)(2과목평균) 중 2개 영역 합 10이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,지역기회균형전형,학생부교과,자연,의예,의학과(의예과),,3,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 7이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,지역인재전형,학생부교과,자연,간호,간호학과,,25,,,2과목평균,"국, 수, 영, 탐(사/과)(2과목평균) 중 2개 영역 합 9이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,지역인재전형,학생부교과,자연,의예,의학과(의예과),,25,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 6이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,지역인재전형,학생부종합,자연,간호,간호학과,,5,,,2과목평균,"국, 수, 영, 탐(사/과)(2과목평균) 중 3개 영역 합 13이내 (탐구 소수점 절사)"
강원,사립,가톨릭관동대,지역인재전형,학생부종합,자연,의예,의학과(의예과),,7,,,2과목평균,"국, 수(미적/기하), 영, 탐(과)(2과목평균) 중 3개 영역 합 5이내 (탐구 소수점 절사)"
서울,사립,가톨릭대,논술전형,논술,자연,간호,간호학과,,18,Y,,1과목,"*수능 4개 영역 필수 응시* 국, 수, 영, 탐(사/과)(1과목) 중 3개 영역 합 7이내"
서울,사립,가톨릭대,논술전형,논술,자연,약학,약학과,,8,Y,,1과목,"*수능 4개 영역 필수 응시* 국, 수, 영, 탐(과)(1과목) 중 3개 영역 합 5이내"
서울,사립,가톨릭대,논술전형,논술,자연,의예,의예과,,19,Y,,2과목평균,"*수능 4개 영역 필수 응시* 국, 수, 영, 탐(과)(2과목평균) 중 3개 영역 합 4이내, 한국사 4이내 (탐구 소수점 절사)"
서울,사립,가톨릭대,지역균형전형,학생부교과,공통,자유전공,자유전공학과,,33,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,경영•경제•무역,경영학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,경영•경제•무역,경제학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,어문•인문학,국사학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,어문•인문학,국어국문학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,어문•인문학,국제학부,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,법•정치•행정,법학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,복지•아동•가족,사회복지학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,사회•언론•매체,사회학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,사회•언론•매체,심리학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,어문•인문학,영어영문학부,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,자유전공,인문사회계열,,30,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,어문•인문학,일어일본문화학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,어문•인문학,중국언어문화학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,어문•인문학,철학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,유아•특수교육,특수교육과,,6,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,어문•인문학,프랑스어문화학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,법•정치•행정,행정학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,인문,금융•회계•세무,회계학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,간호,간호학과,,14,Y,,1과목,"*수능 4개 영역 필수 응시* 국, 수, 영, 탐(사/과)(1과목) 중 3개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,생활과학,공간디자인소비자학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,전기•전자•컴퓨터•통신,데이터사이언스학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,물리•화학•생명•천문,물리학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,사회•언론•매체,미디어기술콘텐츠학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,전기•전자•컴퓨터•통신,바이오메디컬소프트웨어학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,신소재•화공•에너지,바이오메디컬화학공학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,생명공•의과학•보건,생명공학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,수학•통계,수학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,생활과학,식품영양학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,복지•아동•가족,아동학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,약학,약학과,,4,Y,,1과목,"*수능 4개 영역 필수 응시* 국, 수, 영, 탐(과)(1과목) 중 3개 영역 합 5이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,신소재•화공•에너지,에너지환경공학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,디자인•의류•뷰티,의류학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,생명공•의과학•보건,의생명과학과,,5,,,1과목,"국, 수, 영, 탐(사/과)(1과목) 중 2개 영역 합 7이내"
서울,사립,가톨릭대,지역균형전형,학생부교과,자연,의예,의예과,,10,Y,,2과목평균,"*수능 4개 영역 필수 응시* 국, 수, 영, 탐(과)(2과목평균) 중 4개 영역 합 5이내, 한국사 4이내 (과탐 동일과목 Ⅰ,Ⅱ 불가, 탐구 소수점 절사)"
